,会員ID,登録施設,性別,生まれ年,回答時の年齢,年代,都道府県,会員市町村,世帯年収,UA,回答日時,回答月,回答エリア,回答エリア2,市町村,6分類,DMO,宿泊数（全体）,宿泊数（県内）,宿泊エリア（県内）,宿泊エリア（県外）,同行者,訪問目的ALL,宿でのんびり過ごす,温泉や露天風呂,地元の美味しいものを食べる,花見や紅葉などの自然鑑賞,名所、旧跡の観光,テーマパーク（遊園地、動物園、博物館など）,買い物、アウトレット,お祭りやイベントへの参加・見物,スポーツ観戦や芸能鑑賞（コンサート等）,アウトドア（海水浴、釣り、登山など）,まちあるき、都市散策,各種体験（手作り、果物狩りなど）,スキー・スノボ、マリンスポーツ,その他スポーツ（ゴルフ、テニスなど）,ドライブ・ツーリング,友人・親戚を尋ねる,出張など仕事関係,その他,情報収集ALL,観光展・物産展,新聞・雑誌・ガイドブック,TV・ラジオ番組やCM,観光パンフレット・ポスター,観光連盟やDMOのHP,インターネット・アプリ,Twitter,Instagram,Facebook,ブログ,友人・知人,観光協会等の案内所,タクシードライバーや地元の人,宿泊施設,福井県までの交通手段ALL,自家用車,レンタカー,新幹線,在来線,飛行機,旅行会社ツアーバス,県外から訪れていない（福井県在住）,福井県内での交通手段ALL,タクシー,路線バス,徒歩,レンタサイクル,福井県内での交通手段の満足度,福井県内での交通手段の満足度の理由,宿泊費,交通費,県内消費額,エリア訪問回数,アンケート回答前に訪問した主な場所,アンケート回答前に訪問した主な場所FA,アンケート回答後に訪問する予定の主な場所,アンケート回答後に訪問する予定の主な場所FA,エリア総消費額,満足度,満足度の理由,不便さ,不便さの内容,NPS,推奨項目,施設に求めるもの,今後の来訪意向,福井県に求めるもの,color
21,101262,金ヶ崎 エリア,1,1974,48,40代,兵庫県,姫路市,400万円以上 500万円未満,mobile/android,2022-04-29 21:52:09,4月,金ヶ崎 エリア,49.金ヶ崎 エリア,敦賀市,嶺南東部,,1泊,1泊,嶺南エリア（敦賀市・美浜町・若狭町・小浜市・おおい町・高浜町）,福井県外には宿泊しない,恋人,"宿でのんびり過ごす
名所、旧跡の観光
",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"新聞・雑誌・ガイドブック
",0,1,0,0,0,0,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,満足,特になし,"5,000円以上 10,000円未満","5,000円以上 10,000円未満","5,000円以上 10,000円未満",2～5回目,敦賀鉄道資料館（旧敦賀港駅舎 ）,,選択なし/該当施設なし,,"5,000円以上 10,000円未満",4,特になし,感じなかった,,5,,,また行きたい（1年以内）,,blue
22,101237,web,2,1990,32,30代,福井県,福井市,100万円以上 200万円未満,mobile/iphone,2022-04-29 21:35:11,4月,越前和紙の里 エリア,28.越前和紙の里 エリア,越前市,丹南,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,その他家族,"地元の美味しいものを食べる
アウトドア（海水浴、釣り、登山など）
まちあるき、都市散策
",0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,"その他
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"県外から訪れていない（福井県在住）
",1,0,0,0,0,0,1,"自家用車
",0,0,0,0,,,使わない,"1,000円以上 3,000円未満","3,000円以上 5,000円未満",初めて,一乗谷朝倉氏遺跡,,選択なし/該当施設なし,,"1,000円未満",4,"リトさんの葉っぱの切り絵を見にきましたが、和紙の作り方の説明や実際作業を見れてよかったです。
和紙作りについてあまり知らなかったので紙一枚作るのに色んな工程があることに驚きました。",感じなかった,,7,和紙作りを実際に見れたり体験したりできるので興味がある人には薦めたい。,,機会があれば行きたい,,blue
25,101257,あわら温泉 エリア,1,1991,31,30代,東京都,足立区,400万円以上 500万円未満,mobile/android,2022-04-29 20:04:54,4月,あわら温泉 エリア,11.あわら温泉 エリア,あわら市,あわら市・坂井市,,1泊,1泊,三国・あわらエリア（あわら市・坂井市）,福井県外には宿泊しない,自分ひとり,"温泉や露天風呂
名所、旧跡の観光
",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,"新幹線
在来線
",0,0,1,1,0,0,0,"在来線
",0,0,0,0,満足,,"10,000円以上 20,000円未満","10,000円以上 20,000円未満","5,000円以上 10,000円未満",初めて,選択なし/該当施設なし,,選択なし/該当施設なし,,"10,000円以上 20,000円未満",4,温泉に満足,感じなかった,,8,,,機会があれば行きたい,,blue
27,100323,スーベニアショップ ラプトル,2,1987,35,30代,福井県,越前市,400万円以上 500万円未満,mobile/iphone,2022-04-29 19:42:40,4月,かずら橋 エリア,37.かずら橋 エリア,池田町,丹南,,1泊,1泊,越前エリア（越前市・越前町・鯖江市・池田町・南越前町）,福井県外には宿泊しない,小学生以下連れの家族,"宿でのんびり過ごす
地元の美味しいものを食べる
",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Instagram
友人・知人
",0,0,0,0,0,0,0,1,0,0,1,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,"10,000円以上 20,000円未満",使わない,"3,000円以上 5,000円未満",2～5回目,一乗谷朝倉氏遺跡,,選択なし/該当施設なし,,"1,000円未満",5,かずら橋の近くでよもぎのお団子やアイスクリームを食べることができて、満足でした。,感じた,小雨が降ったので、傘を持っていなくて橋を渡れるか心配だった。傘の貸し出しサービスがあるといい。あ,10,子供がすごく喜んで渡ってくれた。アイスクリームを食べるところもあり、意外と滞在できて楽しめた。,お蕎麦屋さんはあったが、パン屋さんなどテイクアウトが出来るお店があるといいなと思った。,また行きたい（1年以内）,各観光施設で福井県ならではの魅力をもっとアピール出来るのではと思った。かずら橋付近にキッチンカーでの販売とかを行うと、お天気がいいと川付近に敷物を引いてランチも出来るので、子供も喜びそうと思った。子供向けのイベントもやってほしい。,blue
31,101252,うるしの里 エリア,1,1988,34,30代,福井県,坂井市,500万円以上 600万円未満,mobile/iphone,2022-04-29 17:59:55,4月,うるしの里 エリア,34.うるしの里 エリア,鯖江市,丹南,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,恋人,"花見や紅葉などの自然鑑賞
名所、旧跡の観光
まちあるき、都市散策
ドライブ・ツーリング
",0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,"観光展・物産展
Instagram
ブログ
友人・知人
",1,0,0,0,0,0,0,1,0,1,1,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,使わない,"1,000円未満","1,000円未満",11回目以上,選択なし/該当施設なし,御誕生寺,一乗谷朝倉氏遺跡,,"1,000円未満",4,和紙のグッズが良かった。,感じた,花粉,3,,,福井県在住,,blue
32,101180,道の駅「パークイン丹生ヶ丘」 エリア,2,1988,34,30代,福井県,福井市,分からない/無回答,mobile/android,2022-04-29 17:37:36,4月,道の駅「パークイン丹生ヶ丘」 エリア,39.道の駅「パークイン丹生ヶ丘」 エリア,越前町,丹南,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,その他家族,"地元の美味しいものを食べる
",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,"県外から訪れていない（福井県在住）
",1,0,0,0,0,0,1,"自家用車
",0,0,0,0,,,使わない,"1,000円未満","3,000円以上 5,000円未満",初めて,選択なし/該当施設なし,,選択なし/該当施設なし,,"1,000円以上 3,000円未満",4,,感じた,freewi-fiがあると良かった,10,おたとうふを使った厚揚げ御膳と、揚げ出し豆腐御膳がとても美味しかったため,,福井県在住,福井の厚揚げが食べられる場所がもっと増えると嬉しい,blue
34,101247,道の駅「南えちぜん山海里」 エリア,2,1962,60,60代,宮城県,仙台市太白区,600万円以上 700万円未満,mobile/iphone,2022-04-29 17:27:05,4月,道の駅「南えちぜん山海里」 エリア,43.道の駅「南えちぜん山海里」 エリア,南越前町,丹南,,4泊以上,1泊,三国・あわらエリア（あわら市・坂井市）,京都府,夫婦2人,"温泉や露天風呂
地元の美味しいものを食べる
名所、旧跡の観光
まちあるき、都市散策
",0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,キャンピングカー,"観光パンフレット・ポスター
インターネット・アプリ
友人・知人
タクシードライバーや地元の人
",0,0,0,1,0,1,0,0,0,0,1,0,1,0,"自家用車
",0,0,0,0,0,0,0,"その他
",0,0,0,0,満足,"福井の名産、野菜など新鮮な品が売っている
食事も名産が並んでいた！","30,000円以上 40,000円未満","100,000円以上","5,000円以上 10,000円未満",初めて,越前打刃物会館,,一乗谷朝倉氏遺跡,,"3,000円以上 5,000円未満",4,美味しい物が沢山あった！,感じた,"広い割に案内が少なく思った
はじからはじまでいかなくてはならず、雨の日だったので余計に不便を感じた",5,福井のお土産が全て揃っていて、楽しい,ステーキまであり、食事をするのに子供から大人まで楽しめる,機会があれば行きたい,キャンピングカーなど、大型の駐車場を増やして欲しい。,blue
41,101241,スーベニアショップ ラプトル エリア,2,1983,39,30代,奈良県,奈良市,600万円以上 700万円未満,mobile/iphone,2022-04-29 16:40:59,4月,スーベニアショップ ラプトル エリア,19.スーベニアショップ ラプトル エリア,大野市,勝山市・大野市,勝山市観光まちづくり(株),1泊,1泊,福井エリア（福井市・永平寺町）,福井県外には宿泊しない,小学生以下連れの家族,"地元の美味しいものを食べる
テーマパーク（遊園地、動物園、博物館など）
",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"観光展・物産展
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,とても満足,,"30,000円以上 40,000円未満","20,000円以上 30,000円未満","30,000円以上 40,000円未満",初めて,芝政ワールド,,越前松島水族館,,"5,000円以上 10,000円未満",5,ぬいぐるみの種類が豊富だった。,感じた,ぬいぐるみの種類が普段より少ないと言われたため。,10,,もっとベンチや机が欲しい。昼の混み合っている中でご飯が食べにくかった。,また行きたい（1年以内）,恐竜博物館の中に体験型のイベントがあれば嬉しい,blue
42,100792,web,2,1975,47,40代,福井県,大飯郡,200万円以上 300万円未満,mobile/iphone,2022-04-29 16:39:41,4月,うみんぴあ大飯 エリア,64.うみんぴあ大飯 エリア,おおい町,嶺南西部,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,自分ひとり,"買い物、アウトレット
",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"観光展・物産展
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,とても満足,,"3,000円以上 5,000円未満","3,000円以上 5,000円未満","3,000円以上 5,000円未満",11回目以上,小浜市まちの駅・旭座,,選択なし/該当施設なし,,"3,000円以上 5,000円未満",5,綺麗で開放的,感じた,食堂が早く終わっていた,8,ジェラートが色々な種類がありおいしかった,,福井県在住,遊び場がふえるといいな,blue
43,101234,うるしの里 エリア,2,1992,30,30代,福井県,福井市,300万円以上 400万円未満,mobile/iphone,2022-04-29 16:36:49,4月,うるしの里 エリア,34.うるしの里 エリア,鯖江市,丹南,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,恋人,"地元の美味しいものを食べる
名所、旧跡の観光
ドライブ・ツーリング
",0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"TV・ラジオ番組やCM
インターネット・アプリ
Instagram
友人・知人
",0,0,1,0,0,1,0,1,0,0,1,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,使わない,"1,000円未満","3,000円以上 5,000円未満",6～10回目,選択なし/該当施設なし,御誕生寺,選択なし/該当施設なし,,"3,000円以上 5,000円未満",5,地元ならではの良さを素敵にアピールされていて、訪れて楽しいし、新しいアイテムから魅力を再発見できて楽しいです。,感じなかった,,10,"福井ならではの可愛くておしゃれで便利なアイテムが売っていること。
本物の漆塗りの触ったときの吸い付くような質感を体験して欲しいこと。",うるしの里エリアの飲食店が増えて欲しいと思います。,福井県在住,"福井県には若者がいろんな種類の習い事で集まる場所(県営・市営で安い受講料で受けられる大きいカルチャーセンターなど)が無い気がするので、
県内からは日常的に習い事などで集まり、県外からはや体験などで参加でき合流できる施設が欲しいです。
福井には何も無いから楽しくないと思う若者が、気軽に他の人と繋がれる場所が欲しいです。",blue
44,101235,web,2,1968,54,50代,愛知県,名古屋市千種区,800万円以上 900万円未満,mobile/iphone,2022-04-29 16:07:38,4月,道の駅「西山公園」 エリア,32.道の駅「西山公園」 エリア,鯖江市,丹南,,1泊,1泊,福井エリア（福井市・永平寺町）,福井県外には宿泊しない,夫婦2人,"宿でのんびり過ごす
地元の美味しいものを食べる
名所、旧跡の観光
買い物、アウトレット
",1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,"10,000円以上 20,000円未満","5,000円以上 10,000円未満","10,000円以上 20,000円未満",初めて,選択なし/該当施設なし,,丸岡城,,"1,000円以上 3,000円未満",3,雨で景色など見られないので,感じなかった,,4,,,機会があれば行きたい,,yellow
46,101231,スーベニアショップ ラプトル エリア,2,1998,24,20代,静岡県,焼津市,500万円以上 600万円未満,mobile/iphone,2022-04-29 15:57:27,4月,スーベニアショップ ラプトル エリア,19.スーベニアショップ ラプトル エリア,大野市,勝山市・大野市,勝山市観光まちづくり(株),2泊,2泊,福井エリア（福井市・永平寺町）,福井県外には宿泊しない,親,"地元の美味しいものを食べる
テーマパーク（遊園地、動物園、博物館など）
まちあるき、都市散策
友人・親戚を尋ねる
",0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,"観光連盟やDMOのHP
Instagram
観光協会等の案内所
",0,0,0,0,1,0,0,1,0,0,0,1,0,0,"在来線
",0,0,0,1,0,0,0,"在来線
路線バス
",0,1,0,0,満足,直通じゃないバスの時間を増やしてほしい,使わない,"10,000円以上 20,000円未満","10,000円以上 20,000円未満",初めて,福井県立恐竜博物館,,福井駅,,"1,000円以上 3,000円未満",5,恐竜グッズが充実していた,感じなかった,,10,,,また行きたい（1年以内）,,blue
